Area,Theme,UNHCR Outcome Area,Core Indicator,Data collection date,Indicator,Value,Population group,Geographical Scope,Comment,Source,Publication,Publication link,Data source,Methodology available,Available questionnaire,Methodology overview,Limitations,Microdata link
3.4 Securing solutions,"Land, housing and property rights",14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who indicated having an intact dwelling in Ukraine,69,Refugees,Czech Republic,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,"Total sample size: 719 households; face-to-face, phone and web-based surveys; self-recruitment based on Ipsos' online panels",Potential sampling bias due to non-probabilistic household selection and data collection mode,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,"Land, housing and property rights",14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who indicated having an intact dwelling in Ukraine,66,Refugees,Germany,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 258 households; phone and web-based surveys; self-recruitment based on Ipsos' online panels,Potential sampling bias due to non-probabilistic household selection and data collection mode,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,"Land, housing and property rights",14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who indicated having an intact dwelling in Ukraine,77,Refugees,Poland,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 710 households; phone and web-based surveys; stratified random sampling from proGres list,Sample only representative of refugees enrolled for cash-assistance,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,"Land, housing and property rights",14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who indicated having an intact dwelling in Ukraine,77,Refugees,Moldova,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 434 households; phone and web-based surveys; stratified random sampling from proGres list,Sample only representative of refugees enrolled for cash-assistance,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,"Land, housing and property rights",14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who indicated having an intact dwelling in Ukraine,73,Refugees,Romania,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 421 households; phone and web-based surveys; stratified random sampling from proGres list,Sample only representative of refugees enrolled for cash-assistance,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,"Land, housing and property rights",14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who indicated having an intact dwelling in Ukraine,67,Refugees,Slovakia,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 414 households; phone and web-based surveys; stratified random sampling from proGres list,Sample only representative of refugees enrolled for cash-assistance,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,"Land, housing and property rights",14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who indicated having an intact dwelling in Ukraine,45,Refugees,Belgium,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 300 households; phone-based surveys; stratified random sampling from proGres list,,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,"Land, housing and property rights",14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who indicated having an intact dwelling in Ukraine,58,Refugees,Spain,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 489 households; face-to-face and phone-based surveys; stratified random sampling from proGres list,,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,"Land, housing and property rights",14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who indicated having an intact dwelling in Ukraine,68,Refugees,Europe,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 4814 households; phone and web-based surveys; mixed sampling desing (stratified random sampling from proGres list + self-recruitment based on Ipsos' online panels + face-to-face location-based survey),Potential sampling bias due to mixed sampling strategies and data collection modes,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,"Land, housing and property rights",14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who indicated having a damaged dwelling in Ukraine,17,Refugees,Czech Republic,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,"Total sample size: 719 households; face-to-face, phone and web-based surveys; self-recruitment based on Ipsos' online panels",Potential sampling bias due to non-probabilistic household selection and data collection mode,https://microdata.unhcr.org/index.php/catalog/783
